k	wc	sc	nmi
2	340372.4194280723	0.8217453505137589	0.49071099020414477
4	168174.60327743288	0.8339289822287412	0.4905955367764685
8	100957.60420185755	0.8622051282335981	0.4949117504071147
16	50215.86977132655	0.8963581517129342	0.5004850671462236
32	24837.56657180567	0.9244098254150562	0.5010051777362052
