k	wc	sc	nmi
2	4510451.352829264	0.5073570654402766	0.21296541181491718
4	623865.3111682332	0.7775551369331446	0.45465341281006205
8	431867.4233497276	0.8135705495621811	0.47894824418185705
16	184307.78754208554	0.8633248572982629	0.46992651237548794
32	91219.99216460001	0.900697223418663	0.481246288668159
