2	4530112.198	316543.411	0.482	0.027
4	2576988.755	1965907.183	0.630	0.149
8	1847679.263	1908129.550	0.693	0.150
16	1433668.073	1801412.500	0.735	0.150
32	1165132.754	1698388.309	0.768	0.149
