k	wc	sc	nmi
2	8983899.9995162	0.37354876244359386	0.11375939363116856
4	4215055.397336034	0.5419361704771062	0.228613323579653
8	1904477.1347480149	0.6763601396933687	0.32636102477256534
16	876448.4495110008	0.769216097825127	0.3950330730485499
32	442168.04509185196	0.8354068968967305	0.4392034789940245
